Strain,Rating,Description,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Flavor_1,Flavor_2,Flavor_3,Type,pr_words
Middlefork-X-Pineapple-Express,4.9,"middlefork x pineapple express is a 75% sativa strain from western washington that combines the best of both parents: a pungent pineapple aroma and heavy resin production. notes of berry and earthiness accent the dominant fruity aroma of this strain, bringing fragrant intricacy to this sativa hybrid. bliss and euphoria overcome the mind, lulling you into a deep sense of calm and contentment. in addition to its rich terpene profile, middlefork x pineapple express typically demonstrates a high cannabinoid content that can stretch beyond 20% thc.",Happy,Euphoric,Giggly,Uplifted,Relaxed,Pineapple,Sweet,Grape,1,middlefork x pineapple express sativa strain western washington combines best parents pungent pineapple aroma heavy resin production notes berry earthiness accent dominant fruity aroma strain bringing fragrant intricacy sativa hybrid bliss euphoria overcome mind lulling deep sense calm contentment addition rich terpene profile middlefork x pineapple express typically demonstrates high cannabinoid content stretch beyond thc
Midnight,4.4,"midnight, a popular strain in israel, is a sativa-dominant variety developed by tikun olam to treat nausea. this high-cbd strain also controls pain, inflammation, and indigestion, with uplifting and invigorating effects ideal for daytime consumption.",Happy,Uplifted,Euphoric,Relaxed,Creative,Earthy,Pungent,Lavender,0,midnight popular strain israel variety developed tikun olam treat nausea strain also controls pain inflammation indigestion uplifting invigorating effects ideal daytime consumption
Milky-Way,4.7,"milky way is an 80/20 indica-dominant blend bred by kiwiseeds. named for the milky white trichomes that cover its buds and sugar leaves, milky way has a sweet aroma with flavors of sugar and spice. the effects are characterized as potent, relaxing, and full-bodied thanks to the heavy indica influence.",Relaxed,Happy,Euphoric,Energetic,Focused,Sweet,Menthol,Pepper,2,milky way blend bred kiwiseeds named milky white trichomes cover buds sugar leaves milky way sweet aroma flavors sugar spice effects characterized potent relaxing thanks heavy indica influence
Millennium,4.4,"named after the idea that it will be around for many years, millennium is a balanced hybrid with 75% indica from the mountains of iran crossed 25 percent with a niagara/shiva sativa. easy to grow indoors and outdoors.",Creative,Relaxed,Uplifted,Happy,Energetic,Blueberry,Earthy,Diesel,0,named idea around many years millennium balanced hybrid indica mountains iran crossed percent sativa easy grow indoors outdoors
Mint-Chocolate-Chip,4.6,"mint chocolate chip is a rare cross of opposing genetics. created from sinmint cookies and green ribbon bx, this strange hybrid is mentally uplifting while remaining grounded in functional relaxation. the terpene profile is sweet, minty, and herbal, and the buds are dense with resin. mint chocolate chip remains functional in smaller doses, but shows its distracting and relaxing qualities with continued consumption.   ",Relaxed,Happy,Tingly,Uplifted,Talkative,Minty,Earthy,Mint,0,mint chocolate chip rare cross opposing genetics created sinmint cookies green ribbon bx strange hybrid mentally uplifting remaining grounded functional relaxation terpene profile sweet minty herbal buds dense resin mint chocolate chip remains functional smaller doses shows distracting relaxing qualities continued consumption
Mission-Kush,4.0,"mission kush by view askew farms is a powerful west coast herb grown near the banks of the columbia river. bred from silver surfer and haze, mission kush holds on to the earthy and herbaceous terpenes of its predecessors. the complementary effects of this sativa-dominant strain set in quickly, imbuing the consumer with a strong, positive focus that promotes productivity, long conversations, and mood elevation. utilize mission kush to curb depression and mental fatigue while enhancing mood and productivity.   ",Creative,Uplifted,Energetic,Euphoric,Happy,Pine,,,0,mission kush view askew farms powerful west coast herb grown near banks columbia river bred silver surfer haze mission kush holds earthy herbaceous terpenes predecessors complementary effects strain set quickly imbuing consumer strong positive focus promotes productivity long conversations mood elevation utilize mission kush curb depression mental fatigue enhancing mood productivity
Misty-Kush,4.4,"misty kush’s genetics include two of the most famous indica plants, white widow and  northern lights, along with another strong indica, shiva. given its origins, it may be surprising that this strain’s effects tend to be more uplifting and mental than is usually expected from an indica. misty kush was created by breeders at nirvana seeds and quickly gained a following in its native amsterdam. misty are true indicas as plants; they’re short in stature and will flower in 8 to 9 weeks. indoor growing is best, but the plants’ strong stink may be a problem. this is one of those strains that truly has a “sweet stink” ranging from rotten fruit to old socks. luckily, the taste is pure sugary goodness.",Happy,Euphoric,Relaxed,Uplifted,Talkative,Sweet,Mango,Lemon,2,misty kush genetics include two famous indica plants white widow northern lights along another strong indica shiva given origins may surprising strain effects tend uplifting mental usually expected indica misty kush created breeders nirvana seeds quickly gained following native amsterdam misty true indicas plants short stature flower weeks indoor growing best plants strong stink may problem one strains truly sweet stink ranging rotten fruit old socks luckily taste pure sugary goodness
Misty-Morning,4.0,"misty morning is a sweet creeper crafted by the fine folks at colorado seed inc. this slow-moving strain crawls over the body like mist, gently subduing aches and pains with a subtle yet tangible potency. by crossing sugar cane and gupta kush, co seed inc. fashioned a stable indica-dominant strain with quality medicinal benefits and inspiring trichome production, making it suitable for patients and consumers with a higher thc tolerance. enjoy misty morning in controlled doses as its effect can complement physical activity in small doses, but can also stunt any physical activity with continued consumption. ",Sleepy,Euphoric,Relaxed,,,Spicy/Herbal,Pine,,0,misty morning sweet creeper crafted fine folks colorado seed strain crawls body like mist gently subduing aches pains subtle yet tangible potency crossing sugar cane gupta kush co seed fashioned stable strain quality medicinal benefits inspiring trichome production making suitable patients consumers higher thc tolerance enjoy misty morning controlled doses effect complement physical activity small doses also stunt physical activity continued consumption
Mob-Boss,4.5,"released in 2009 by grindhouse medical seeds, mob boss is a sativa-dominant hybrid bred from chemdawg d and tang tang. this california strain earned its fame through its staggeringly heavy resin production and intoxicatingly potent effects. mob boss’ intensity hides behind a light, sweet floral aroma with undertones of citrus and herbs. while some phenotypes deliver a hard-hitting jolt of cerebral psychoactivity, others tend to induce a lighter, more clear-headed buzz. patients use mob boss for potent relief of muscle tension, mood elevation, and appetite stimulation. depending on how its traits are expressed, mob boss typically finishes flowering in 60 to 70 days indoors.",Energetic,Happy,Euphoric,Uplifted,Relaxed,Earthy,Pine,Citrus,0,released grindhouse medical seeds mob boss hybrid bred chemdawg tang tang california strain earned fame staggeringly heavy resin production intoxicatingly potent effects mob boss intensity hides behind light sweet floral aroma undertones citrus herbs phenotypes deliver jolt cerebral psychoactivity others tend induce lighter buzz patients use mob boss potent relief muscle tension mood elevation appetite stimulation depending traits expressed mob boss typically finishes flowering days indoors
Moby-Dick,4.3,"originating in amsterdam and currently bred by dinafem seeds, moby dick’s high thc content makes it one of the strongest sativas. winner of ‘girl of the year’ by the cannabis newspaper soft secrets in 2010, this strain is a cross between indica-dominant hybrid white widow and sativa haze; the former is known for its power while the latter for its cerebral stimulation, creating a mostly sativa plant that delivers a charged buzz. this strain is also favored for its short flowering period, mold resistance, and high yield, making it a grower favorite. however, the plant does require more attention and care. the aroma is a sweet citrus from the haze, which dominates the palate with vanilla and eucalyptus tones.",Uplifted,Euphoric,Happy,Relaxed,Energetic,Sweet,Citrus,Earthy,1,originating amsterdam currently bred dinafem seeds moby dick high thc content makes one strongest sativas winner girl year cannabis newspaper soft secrets strain cross hybrid white widow sativa haze former known power latter cerebral stimulation creating mostly sativa plant delivers charged buzz strain also favored short flowering period mold resistance high yield making grower favorite however plant require attention care aroma sweet citrus haze dominates palate vanilla eucalyptus tones
Mochi,5.0,"mochi by sherbinski is another strain that leans on the cookie fam lineage for flavor, potency, and stability. this phenotypic expression of sunset sherbet x thin mint girl scout cookies is an indica-leaning hybrid with beautiful, dense buds. mochi’s appearance is a frosty mixture of purple and jade foliage knotted with bright red hairs. its effects are very similar to that of its parent strains, offering moderate pain and stress reduction while imbuing the consumer with a calm and creative aura. the mochi strain is also known by the names gelato 47 and mochi gelato. ",Sleepy,Happy,Hungry,Relaxed,Tingly,Pungent,Minty,Flowery,0,mochi sherbinski another strain leans cookie fam lineage flavor potency stability phenotypic expression sunset sherbet x thin mint girl scout cookies hybrid beautiful dense buds mochi appearance frosty mixture purple jade foliage knotted bright red hairs effects similar parent strains offering moderate pain stress reduction imbuing consumer calm creative aura mochi strain also known names gelato mochi gelato
Molokai-Frost,4.8,"moloka’i frost (also known as moloka’i hashplant) is a potent sativa-dominant strain with a robust medicinal history. in 1969, residents of the lalaaupapa moloka’i leper colony were allowed to leave and access modern medicine. but a special medicine also left the kalawao valley (pronounced ka-la-wow), too. this flower grows like a sativa, but exhibits extremely powerful indica-like effects, including heavy sedation, strong analgesic effects, and latent euphoria that complements this strain’s heavy body elements. this rare resinous flower is a hawaiian landrace worth seeking out.  ",Relaxed,Euphoric,Happy,Creative,Uplifted,Pungent,Woody,Chestnut,2,moloka frost also known moloka hashplant potent strain robust medicinal history residents lalaaupapa moloka leper colony allowed leave access modern medicine special medicine also left kalawao valley pronounced flower grows like sativa exhibits extremely powerful effects including heavy sedation strong analgesic effects latent euphoria complements strain heavy body elements rare resinous flower hawaiian landrace worth seeking
Molokai-Purpz,5.0,"moloka’i purpz is a luscious hawaiian landrace strain from the island of moloka’i. with deep purple hues and an aroma so rich with grape and berry that some might say it even “smells purple,” moloka’i purpz delivers sedating effects ideal for those suffering from insomnia and stress. anticipate a flavor as rich as the smell, with notes of exotic berry and grape intermixed with a sweet skunkiness. this indica-dominant strain is extremely relaxing, lulling the body and mind into a state of weighted tranquility. ",Aroused,Creative,Euphoric,Relaxed,Sleepy,Berry,Grape,Sweet,2,moloka purpz luscious hawaiian landrace strain island moloka deep purple hues aroma rich grape berry might say even smells purple moloka purpz delivers sedating effects ideal suffering insomnia stress anticipate flavor rich smell notes exotic berry grape intermixed sweet skunkiness strain extremely relaxing lulling body mind state weighted tranquility
Money-Maker,4.6,"money maker is a blend of three of the finest old school cannabis varieties. breeder strain hunters has mixed the potency and vitality of master kush and hindu kush in combination with the vigorous growth and sweet flavors of skunk #1 to form an indica-dominant cross that can be appreciated by cultivators and connoisseurs alike. its aroma is a sharp mixture of spiced berries and piney kush. money maker provides an earthy mix of flavors reminiscent of dried fruits and roasted nuts that produce immediate relaxing effects. a good choice for insomnia or to stimulate your appetite, money maker is a strain that many reserve for the end of their day. ",Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Berry,Skunk,2,money maker blend three finest old school cannabis varieties breeder strain hunters mixed potency vitality master kush hindu kush combination vigorous growth sweet flavors skunk form cross appreciated cultivators connoisseurs alike aroma sharp mixture spiced berries piney kush money maker provides earthy mix flavors reminiscent dried fruits roasted nuts produce immediate relaxing effects good choice insomnia stimulate appetite money maker strain many reserve end day
Monkey-Paw,4.5,"monkey paw takes its name from its fingerling buds that resemble the curled paws of primates. it is a fabled old school strain whose roots sprouted in michigan and has built a solid reputation for itself across the midwest. this hybrid is a compelling mixture of acapulco gold and colombian gold sativas that are balanced by afghani’s indica influence to produce a pungent combination of sweet and fruity flavors. its aroma is reminiscent of the thick musk of skunk varieties with sharp notes of zesty citrus that cut the senses. the aftertaste of fresh fruits, like grape and blueberry, serves as precursor to the relaxing effects that calm body pains and stimulate the stomach. ",Relaxed,Happy,Hungry,Uplifted,Euphoric,Grape,Berry,Spicy/Herbal,0,monkey paw takes name fingerling buds resemble curled paws primates fabled old school strain whose roots sprouted michigan built solid reputation across midwest hybrid compelling mixture acapulco gold colombian gold sativas balanced afghani indica influence produce pungent combination sweet fruity flavors aroma reminiscent thick musk skunk varieties sharp notes zesty citrus cut senses aftertaste fresh fruits like grape blueberry serves precursor relaxing effects calm body pains stimulate stomach
Monolith,5.0,"monolith is an indica-dominant strain with afghan roots that stretch back to the 1980s. this indica exhibits a pungent aroma that has an earthy, herbaceous core glazed with stinky-sweet terpenes powerful enough to clear a room. the onset of monolith is surprisingly uplifting, making the consumer smile and laugh while banishing stress and anxiety from the mind. monolith stimulates the appetite and infuses the limbs with a warm, tingly sensation. enjoy this indica to nullify stress, curb minor physical pain, and encourage rest and relaxation.    ",Relaxed,Sleepy,Tingly,Euphoric,Focused,Pungent,Earthy,Pine,2,monolith strain afghan roots stretch back indica exhibits pungent aroma earthy herbaceous core glazed terpenes powerful enough clear room onset monolith surprisingly uplifting making consumer smile laugh banishing stress anxiety mind monolith stimulates appetite infuses limbs warm tingly sensation enjoy indica nullify stress curb minor physical pain encourage rest relaxation
Monster-Cookies,4.6,"monster cookies is an 80% indica cross between girl scout cookies and granddaddy purple that delivers a jarring dose of euphoria and relaxation. its aroma is dominated by earthy notes, enriched by a grape and berry scent passed on by granddaddy purple. hues of purple and green weave together under a silver blanket of crystal trichomes, colors that continue to darken with maturation. calming sedation wells up over time, making this strain ideal for late night use. ",Relaxed,Happy,Sleepy,Euphoric,Hungry,Earthy,Grape,Pine,2,monster cookies indica cross girl scout cookies granddaddy purple delivers jarring dose euphoria relaxation aroma dominated earthy notes enriched grape berry scent passed granddaddy purple hues purple green weave together silver blanket crystal trichomes colors continue darken maturation calming sedation wells time making strain ideal late night use
Monster-Og,4.9,"monster og from the green element is a hybrid strain that crosses a heavy og indica with an og kush and sfv og hybrid. with a thc profile that can stretch past 26 percent, monster og’s effects come on strong to relax muscles, soothe pains, relieve stress, increase the appetite, and promote rest. stout plants produce tights resin-packed buds that carry a blend of deep, earthy diesel and subtle burnt spice notes.",Hungry,Relaxed,Happy,Tingly,Sleepy,Woody,Spicy/Herbal,Earthy,0,monster og green element hybrid strain crosses heavy og indica og kush sfv og hybrid thc profile stretch past percent monster og effects come strong relax muscles soothe pains relieve stress increase appetite promote rest stout plants produce tights buds carry blend deep earthy diesel subtle burnt spice notes
Montana-Silvertip,4.6,"montana silvertip is a granddaddy purple and super silver haze hybrid cross that inherits the name of its homeland. typical medical applications for montana silvertip include add/adhd, migraines, and anxiety.",Relaxed,Happy,Euphoric,Uplifted,Giggly,Earthy,Spicy/Herbal,Sweet,0,montana silvertip granddaddy purple super silver haze hybrid cross inherits name homeland typical medical applications montana silvertip include migraines anxiety
Moon-Cookies,4.8,"moon cookies is a twice deep gsc x gsc cross that is certain to moon rock you! this intergalactic herb’s stinky-sweet terpene profile is a complex melange of dough, earth, and green forest. the effects are those of classic girl scout cookies, and the buds are resinous rocks that are hard and dense. enjoy moon cookies into the afternoon as the physical effects of this strain can get heavier and more sedative with continued consumption. but in good measure, moon cookies offers a bright cerebral buzz that can improve mood while its physical effects mute minor physical discomfort, nausea, and stress.     ",Hungry,Focused,Euphoric,Happy,Relaxed,Spicy/Herbal,Minty,Flowery,0,moon cookies twice deep gsc x gsc cross certain moon rock intergalactic herb terpene profile complex melange dough earth green forest effects classic girl scout cookies buds resinous rocks hard dense enjoy moon cookies afternoon physical effects strain get heavier sedative continued consumption good measure moon cookies offers bright cerebral buzz improve mood physical effects mute minor physical discomfort nausea stress
Moondance,5.0,"moondance is a sativa-dominant strain that offers a cbd content as high as 11%. with an average thc level of just 4%, consumers will notice only minimal cerebral, euphoric sensations. candied grape aromas turn to spicy pepper, fresh mint, and sharp pine flavors on the exhale. stress, body aches, and painful inflammation wither away while the mind is left agile and clear, making this strain an excellent daytime choice for patients and those needing to stay active. inheriting genetics from super silver haze, neville’s haze, and an unknown cbd-rich parent, moondance is a variation of the better-known medihaze sativa.",Creative,Euphoric,Happy,Relaxed,,Lavender,Pine,,1,moondance strain offers cbd content high average thc level consumers notice minimal cerebral euphoric sensations candied grape aromas turn spicy pepper fresh mint sharp pine flavors exhale stress body aches painful inflammation wither away mind left agile clear making strain excellent daytime choice patients needing stay active inheriting genetics super silver haze neville haze unknown parent moondance variation medihaze sativa
Moonshine-Haze,4.3,moonshine haze by rare dankness seeds is a mostly sativa strain bred by combining nevil's wreck and amnesia haze.,Uplifted,Euphoric,Happy,Relaxed,Creative,Earthy,Citrus,Pine,1,moonshine haze rare dankness seeds mostly sativa strain bred combining nevil wreck amnesia haze
Moonwalker-Kush,4.9,"moonwalker kush is a balanced indica-dominant hybrid that is the genetic cross of triple og and tahoe alien. this odoriferous combination speaks volumes through its scent, which is thick with soured earth and a hint of pepper on the finish. the herbaceous terpene profile aligns nicely with this strain’s intense relaxation and moderate cerebral effects. try moonwalker kush after dark to harness the sedative effects nestled below layers of trichomes and brown pistils.    ",Relaxed,Euphoric,Happy,Focused,Giggly,Earthy,Pine,Minty,0,moonwalker kush balanced hybrid genetic cross triple og tahoe alien odoriferous combination speaks volumes scent thick soured earth hint pepper finish herbaceous terpene profile aligns nicely strain intense relaxation moderate cerebral effects try moonwalker kush dark harness sedative effects nestled layers trichomes brown pistils
Moose-And-Lobsta,4.9,"moose and lobsta is a 70% sativa-dominant hybrid that produces heavy yields of high-potency flowers in about nine to ten and a half weeks of flowering. it smells strongly of skunk and tropical fruit and has a similar taste with undertones of diesel fuel. moose and lobsta provides a very intense high that starts in the head and quickly spreads through the body and limbs, and can be beneficial in treating pain, anxiety, depression, and loss of appetite.",Happy,Uplifted,Euphoric,Energetic,Talkative,Citrus,Diesel,Pungent,1,moose lobsta hybrid produces heavy yields flowers nine ten half weeks flowering smells strongly skunk tropical fruit similar taste undertones diesel fuel moose lobsta provides intense high starts head quickly spreads body limbs beneficial treating pain anxiety depression loss appetite
Morning-Glory,4.9,"morning glory by barney’s farm is a sativa-dominant hybrid steeped in fundamental genetics. morning glory is a cross of afghani, hawaiian, and skunk, and inherits flavorful terpenes from each parent. this strain’s aroma has been described as spicy with notes of lemon and sandalwood. the plant grows fat, resinous colas ideal for extraction while the overall plant structure remains manageable. morning glory’s stimulating physical effects and conversent mental state make it a perfect cut to enjoy amongst friends. ",Creative,Energetic,Happy,Aroused,Uplifted,Citrus,Pepper,Lime,0,morning glory barney farm hybrid steeped fundamental genetics morning glory cross afghani hawaiian skunk inherits flavorful terpenes parent strain aroma described spicy notes lemon sandalwood plant grows fat resinous colas ideal extraction overall plant structure remains manageable morning glory stimulating physical effects conversent mental state make perfect cut enjoy amongst friends
Morning-Star,4.3,"a very potent strain of cannabis, morning star provides an uplifting and mind-expanding high.  sweet and expansive smoke, thc content as high as 24%.",Uplifted,Euphoric,Creative,Happy,Energetic,Orange,Berry,Blueberry,0,potent strain cannabis morning star provides uplifting high sweet expansive smoke thc content high
Mossad,3.8,"mossad is an indica-dominant strain bred by terraform genetics, who crossed a conspiracy kush male with the kosher kush female. this san fernando valley strain may express one of two sets of characteristics depending on the phenotype. the first (dubbed mossad og) takes after its og heritage, with frosty and dense buds that exhibit a unique calyx structure. its aroma is a sweet and herbal mix of rose and sage, and its effects will leave you feeling mellow and relaxed following a slightly energetic cerebral buzz. the second phenotype (referred to as mossad kush) inherits more characteristics from conspiracy kush, boasting a hashy, earthy aroma accented by sour lemons.",Euphoric,Focused,Relaxed,,,Sweet,Lemon,Earthy,2,mossad strain bred terraform genetics crossed conspiracy kush male kosher kush female san fernando valley strain may express one two sets characteristics depending phenotype first dubbed mossad og takes og heritage frosty dense buds exhibit unique calyx structure aroma sweet herbal mix rose sage effects leave feeling mellow relaxed following slightly energetic cerebral buzz second phenotype referred mossad kush inherits characteristics conspiracy kush boasting hashy earthy aroma accented sour lemons
Mossimo-Og,4.5,mossimo og is an indica strain that compaeted in the 2014 l.a. cannabis cup.,Euphoric,Focused,Relaxed,Sleepy,Uplifted,Honey,Lemon,Pungent,2,mossimo og indica strain compaeted cannabis cup
Motavation,3.9,"motavation, first bred by magus seeds, is an indica-dominant hybrid strain that combines genetics from sensi star and warlock. while its name may suggest a boost of energy and focus, don’t let yourself be deceived: motavation typically locks you to the couch in a blissful state of relaxed happiness. however, many consumers do report cerebral engagement conducive for creativity, but whether or not you have the energy to make anything of it is another story. this mostly indica cannabis strain has a sweet, fruity and floral aroma that is accented by a sour chemical smell, and patients report motavation’s success in treating anxiety, muscle spasms, pain, and insomnia.",Relaxed,Creative,Sleepy,Giggly,Euphoric,Pungent,Sweet,Flowery,2,motavation first bred magus seeds hybrid strain combines genetics sensi star warlock name may suggest boost energy focus let deceived motavation typically locks couch blissful state relaxed happiness however many consumers report cerebral engagement conducive creativity whether energy make anything another story mostly indica cannabis strain sweet fruity floral aroma accented sour chemical smell patients report motavation success treating anxiety muscle spasms pain insomnia
Mother-Tongue,4.4,"mother tongue is a vibrant 70/30 sativa-dominant strain bred by jinxproof genetics. a cross between afgooey, watermelon og, and jog kush, mother tongue exhibits a wide range of flavors from sweet melons and berry to spicy, earthy coffee with hints of citrus. bright hues of red, pink, and purple stretch from the buds to the leaf tips in an inviting display of color. a perfect daytime companion for productivity, mother tongue provides a clear-headed and thoughtful buzz coupled with deep physical relaxation. ",Happy,Creative,Euphoric,Giggly,Energetic,Earthy,Lemon,Sweet,1,mother tongue vibrant strain bred jinxproof genetics cross afgooey watermelon og jog kush mother tongue exhibits wide range flavors sweet melons berry spicy earthy coffee hints citrus bright hues red pink purple stretch buds leaf tips inviting display color perfect daytime companion productivity mother tongue provides thoughtful buzz coupled deep physical relaxation
Mother-Of-Berries,4.6,"mother of berries, or m.o.b., is an indica strain from maine that provides a deeply relaxing experience that transitions well into restful sleep. carrying the legacy of its blueberry parent, mother of berries lives up to its name with its unmistakable blueberry fragrance. its chunky buds are wreathed in interweaving hues of purple and green, which are obscured under a dense blanket of crystal trichomes. with effects that are more mellow than jarring, mother of berries is suitable for both novice and seasoned consumers alike.",Relaxed,Happy,Creative,Sleepy,Tingly,Berry,Blueberry,Sweet,2,mother berries indica strain maine provides deeply relaxing experience transitions well restful sleep carrying legacy blueberry parent mother berries lives name unmistakable blueberry fragrance chunky buds wreathed interweaving hues purple green obscured dense blanket crystal trichomes effects mellow jarring mother berries suitable novice seasoned consumers alike
Mothers-Milk,4.4,"mother’s milk is the sativa-dominant hybrid of nepali og and appalachia. this potent strain smells of powdered milk and delicate earthy terpenes and is layered in a coat of sparkling trichomes. its effects possess tranquil sedation that is also heady and functional, lending itself to either activity or relaxation. indulge in mother’s milk to help curb minor physical pain, muscle spasms, and depression.  ",Relaxed,Happy,Sleepy,Euphoric,Uplifted,Earthy,Vanilla,Sweet,0,mother milk hybrid nepali og appalachia potent strain smells powdered milk delicate earthy terpenes layered coat sparkling trichomes effects possess tranquil sedation also heady functional lending either activity relaxation indulge mother milk help curb minor physical pain muscle spasms depression
Mothers-Finest,4.4,"mother’s finest, brought into existence by sensi seeds, is a 70% sativa-dominant strain with heavy haze genetics. named after frank zappa’s band mothers of invention, mother’s finest is a masterfully crafted hybrid that captures both the desirable sativa buzz and the resin-heavy traits from a northern lights ancestor. this jack herer cousin typically forms spear-shaped buds that carry more weight and density than your archetypal sativa. its aroma is sweet and tangy with earthy undertones that provide a smooth, complex flavor profile. mother’s finest typically undergoes a long flowering period of 8 to 10 weeks, but plants expressing an indica-like phenotype will finish flowering earlier. this sativa is also suitable for outdoor gardens in warm, sunny climates where flowering completes around the end of october.",Aroused,Happy,Uplifted,Creative,Energetic,Lemon,Sweet,Pine,1,mother finest brought existence sensi seeds strain heavy haze genetics named frank zappa band mothers invention mother finest masterfully crafted hybrid captures desirable sativa buzz traits northern lights ancestor jack herer cousin typically forms buds carry weight density archetypal sativa aroma sweet tangy earthy undertones provide smooth complex flavor profile mother finest typically undergoes long flowering period weeks plants expressing phenotype finish flowering earlier sativa also suitable outdoor gardens warm sunny climates flowering completes around end october
Mothers-Helper,4.6,"mother’s helper is a hybrid cross between the sativa chocolope and a northern lights #5 indica. combining these polar opposite genetics results in a variety of phenotypes that lean to either side of the indica-sativa spectrum. mother’s helper tends to make consumers feel happy, creative, and uplifting, and offers medical benefits to patients treating pain, stress, anxiety, nausea, and migraines.",Energetic,Uplifted,Happy,Focused,Creative,Earthy,Sweet,Citrus,0,mother helper hybrid cross sativa chocolope northern lights indica combining polar opposite genetics results variety phenotypes lean either side spectrum mother helper tends make consumers feel happy creative uplifting offers medical benefits patients treating pain stress anxiety nausea migraines
Mountain-Girl,4.2,"mountain girl by pilot farm is a sun-grown, high elevation strain rooted in native soil on a steep mountainside overlooking the colestin valley in southern oregon. this cross of willy’s wonder, granddaddy purple, and white widow is an uplifting strain that comes with insatiable appetite stimulation. mountain girl’s aroma is sweet and earthy with a skunky finish. this strain is good for improving mood and front-loading creativity, but mind your dosage, as the intense euphoria can be overwhelming for uninitiated consumers.",Happy,Uplifted,Relaxed,Talkative,Creative,Earthy,Spicy/Herbal,Sage,0,mountain girl pilot farm high elevation strain rooted native soil steep mountainside overlooking colestin valley southern oregon cross willy wonder granddaddy purple white widow uplifting strain comes insatiable appetite stimulation mountain girl aroma sweet earthy skunky finish strain good improving mood creativity mind dosage intense euphoria overwhelming uninitiated consumers
Mr-Nice,4.2,"mr. nice is a cross between the legendary g13 strain and the hash plant. previously unavailable since the '80s, sensi seed bank has put this strain on the market again. it's named in honor of howard marks, the oxford graduate who became one of the biggest cannabis smugglers of our time. after his time in federal prison howard released his autobiography entitled 'mr. nice'. this indica-dominant plant has extremely dense buds with a sweet smell. mr. nice will creep up and provide you with a strong, mellow high.",Relaxed,Happy,Hungry,Sleepy,Uplifted,Earthy,Sweet,Woody,2,nice cross legendary strain hash plant previously unavailable since sensi seed bank put strain market named honor howard marks oxford graduate became one biggest cannabis smugglers time time federal prison howard released autobiography entitled nice plant extremely dense buds sweet smell nice creep provide strong mellow high
Mr-Tusk,4.3,"mr. tusk is a phenotype of ken's og kush, grown specially by kushman veganics for the release of kevin smith's film tusk. available only for a limited time at buds & roses in los angeles, mr. tusk is an intensely potent indica-dominant hybrid released alongside its more mellow counterpart white walrus. this strain has also gone by the name 'purple drank' due to its flavor and aroma.",Happy,Talkative,Tingly,Euphoric,Relaxed,Citrus,Sweet,Berry,0,tusk phenotype ken og kush grown specially kushman veganics release kevin smith film tusk available limited time buds roses los angeles tusk intensely potent hybrid released alongside mellow counterpart white walrus strain also gone name drank due flavor aroma
Ms-Universe,4.0,"ms. universe from dynasty seeds is a sativa-dominant hybrid of their des*tar strain crossed with space queen. there are 4 well-known phenotypes that give off a complex range of aromatic notes like pineapple, haze, vanilla, and hashy caramel. the flavors of ms. universe mimic her smell, but add some berry sweetness into the mix and bring forth a tingly sensation across the body that levels off to provide relaxing relief from pain and stress.",Euphoric,Happy,Talkative,Uplifted,Giggly,Sweet,Berry,Pineapple,0,universe dynasty seeds hybrid strain crossed space queen phenotypes give complex range aromatic notes like pineapple haze vanilla hashy caramel flavors universe mimic smell add berry sweetness mix bring forth tingly sensation across body levels provide relaxing relief pain stress
Mt-Cook,5.0,"named after the highest peak in new zealand, mt. cook by kiwiseeds is a former cannabis cup champion. after selecting their top afghani female, a special northern lights and hash plant male was used to pollinate and create this potent indica. known to be powerful and sedative, this is a great strain to relax and catch some sleep with.",Euphoric,Focused,Happy,Relaxed,Aroused,Ammonia,Diesel,Spicy/Herbal,2,named highest peak new zealand mt cook kiwiseeds former cannabis cup champion selecting top afghani female special northern lights hash plant male used pollinate create potent indica known powerful sedative great strain relax catch sleep
Mt-Hood-Magic,4.7,"thought to be exclusive to portland, oregon dispensary five zero trees, mt. hood magic is a cross between northern lights #5 and durban poison. there a few different phenotypes available: two are indica-dominant and more resemble the nl5 portion of its genetics, testing at 17% and 14% thc; and one is sativa-dominant and similar to durban poison, testing at 19% thc.",Euphoric,Happy,Creative,Focused,Uplifted,Earthy,Sweet,Citrus,0,thought exclusive portland oregon dispensary five zero trees mt hood magic cross northern lights durban poison different phenotypes available two resemble portion genetics testing thc one similar durban poison testing thc
Mt-Rainier,4.8,"as beautiful as the snowcapped mountain this strain was named after, the resinous mt. rainier hybrid was bred by redeyed genetics and hails from the pacific northwest. northern lights #5 meets white lotus to create these frosty flowers that unleash scents of sweet citrus and fresh pine. this hybrid is great for daytime use, but don’t overdo it if you intend to stay functional and productive.",Happy,Uplifted,Relaxed,Aroused,Tingly,Earthy,Woody,Sweet,0,beautiful snowcapped mountain strain named resinous mt rainier hybrid bred redeyed genetics hails pacific northwest northern lights meets white lotus create frosty flowers unleash scents sweet citrus fresh pine hybrid great daytime use overdo intend stay functional productive
